,date_crime_year,cnt,__fileposition__
1,2001,485731,0
2,2002,486741,16
3,2003,475917,32
4,2004,469358,48
5,2005,453683,64
6,2006,448059,80
7,2007,436957,96
8,2008,426988,112
9,2009,392593,128
10,2010,370204,144
11,2011,351624,160
12,2012,335776,176
13,2013,306809,192
14,2014,274778,208
15,2015,263406,224
16,2016,267905,240
17,2017,165784,256
