,date_crime_year,cnt,__fileposition__
1,2001,667,0
2,2002,657,16
3,2003,604,32
4,2004,454,48
5,2005,453,64
6,2006,477,80
7,2007,448,96
8,2008,513,112
9,2009,460,128
10,2010,438,144
11,2011,437,160
12,2012,504,176
13,2013,422,192
14,2014,425,208
15,2015,499,224
16,2016,781,240
17,2017,443,256
