,time_crime_hour,primary_type,cnt,__fileposition__
727,23,"PUBLIC PEACE VIOLATION",2216,24960
728,23,"RITUALISM",2,25002
729,23,"ROBBERY",14031,25031
730,23,"SEX OFFENSE",786,25058
731,23,"STALKING",105,25089
732,23,"THEFT",44015,25117
733,23,"WEAPONS VIOLATION",4818,25142
734,24,"ARSON",250,25179
735,24,"ASSAULT",22773,25204
736,24,"BATTERY",50973,25231
737,24,"BURGLARY",21845,25258
738,24,"CONCEALED CARRY LICENSE VIOLATION",5,25286
739,24,"CRIM SEXUAL ASSAULT",798,25339
740,24,"CRIMINAL DAMAGE",27009,25378
741,24,"CRIMINAL TRESPASS",10178,25413
742,24,"DECEPTIVE PRACTICE",27706,25450
743,24,"GAMBLING",839,25488
744,24,"HOMICIDE",270,25516
745,24,"HUMAN TRAFFICKING",1,25544
746,24,"INTERFERENCE WITH PUBLIC OFFICER",582,25581
747,24,"INTIMIDATION",265,25633
748,24,"KIDNAPPING",309,25665
749,24,"LIQUOR LAW VIOLATION",343,25695
750,24,"MOTOR VEHICLE THEFT",12541,25735
751,24,"NARCOTICS",45873,25774
752,24,"NON-CRIMINAL",16,25803
753,24,"OBSCENITY",43,25835
754,24,"OFFENSE INVOLVING CHILDREN",2471,25864
755,24,"OTHER NARCOTIC VIOLATION",12,25910
756,24,"OTHER OFFENSE",27615,25954
757,24,"PROSTITUTION",1385,25987
758,24,"PUBLIC INDECENCY",11,26019
759,24,"PUBLIC PEACE VIOLATION",2586,26055
760,24,"RITUALISM",2,26097
761,24,"ROBBERY",8835,26126
762,24,"SEX OFFENSE",1283,26153
763,24,"STALKING",162,26184
764,24,"THEFT",93867,26212
765,24,"WEAPONS VIOLATION",2589,26237
